batch_id|batch_number|rows_migrated|total_migrated|finished|duration_ms
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|236|250|59000|f|369
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|237|250|59250|f|430
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|238|250|59500|f|518
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|239|250|59750|f|484
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|240|250|60000|f|400
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|241|250|60250|f|350
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|242|250|60500|f|405
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|243|250|60750|f|367
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|244|250|61000|f|365
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|245|250|61250|f|347
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|246|250|61500|f|327
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|247|250|61750|f|344
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|248|250|62000|f|339
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|249|250|62250|f|356
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|250|250|62500|f|354
progress|batch=250|rows=62500
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|251|250|62750|f|339
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|252|250|63000|f|335
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|253|250|63250|f|348
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|254|250|63500|f|354
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|255|250|63750|f|367
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|256|250|64000|f|395
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|257|250|64250|f|349
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|258|250|64500|f|306
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|259|250|64750|f|437
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|260|250|65000|f|339
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|261|250|65250|f|337
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|262|250|65500|f|327
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|263|250|65750|f|335
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|264|250|66000|f|334
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|265|250|66250|f|326
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|266|250|66500|f|335
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|267|250|66750|f|326
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|268|250|67000|f|332
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|269|250|67250|f|312
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|270|250|67500|f|330
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|271|250|67750|f|327
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|272|250|68000|f|353
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|273|250|68250|f|504
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|274|250|68500|f|308
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|275|250|68750|f|380
progress|batch=275|rows=68750
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|276|250|69000|f|338
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|277|250|69250|f|323
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|278|250|69500|f|295
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|279|250|69750|f|354
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|280|250|70000|f|363
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|281|250|70250|f|351
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|282|250|70500|f|490
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|283|250|70750|f|307
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|284|250|71000|f|311
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|285|250|71250|f|426
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|286|250|71500|f|320
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|287|250|71750|f|339
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|288|250|72000|f|317
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|289|250|72250|f|327
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|290|250|72500|f|348
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|291|250|72750|f|344
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|292|250|73000|f|435
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|293|250|73250|f|486
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|294|250|73500|f|487
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|295|250|73750|f|333
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|296|250|74000|f|329
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|297|250|74250|f|357
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|298|250|74500|f|357
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|299|250|74750|f|317
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|300|250|75000|f|330
progress|batch=300|rows=75000
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|301|250|75250|f|334
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|302|250|75500|f|315
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|303|250|75750|f|361
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|304|250|76000|f|360
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|305|250|76250|f|326
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|306|250|76500|f|343
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|307|250|76750|f|397
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|308|250|77000|f|360
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|309|250|77250|f|347
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|310|250|77500|f|355
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|311|250|77750|f|363
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|312|250|78000|f|444
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|313|250|78250|f|330
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|314|250|78500|f|315
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|315|250|78750|f|349
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|316|250|79000|f|395
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|317|250|79250|f|400
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|318|250|79500|f|302
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|319|250|79750|f|324
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|320|250|80000|f|340
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|321|250|80250|f|325
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|322|250|80500|f|320
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|323|250|80750|f|492
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|324|250|81000|f|355
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|325|250|81250|f|320
progress|batch=325|rows=81250
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|326|250|81500|f|343
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|327|250|81750|f|322
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|328|250|82000|f|377
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|329|250|82250|f|344
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|330|250|82500|f|341
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|331|250|82750|f|505
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|332|250|83000|f|377
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|333|250|83250|f|338
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|334|250|83500|f|376
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|335|250|83750|f|351
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|336|250|84000|f|328
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|337|250|84250|f|314
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|338|250|84500|f|331
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|339|250|84750|f|392
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|340|250|85000|f|341
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|341|250|85250|f|361
